invoice_id,ci_id,vendor,service_area,period,contracted_rate,billed_amount,ci_status,variance,finding
INV000001,CI-0000,Cascade Mobile,WAN/Circuits,2025-01-01,1095.31,1095.31,Active,0.0,OK
INV000002,CI-0000,Cascade Mobile,WAN/Circuits,2025-02-01,1095.31,1095.31,Active,0.0,OK
INV000003,CI-0000,Cascade Mobile,WAN/Circuits,2025-03-01,1095.31,1095.31,Active,0.0,OK
INV000004,CI-0000,Cascade Mobile,WAN/Circuits,2025-04-01,1095.31,1095.31,Active,0.0,OK
INV000005,CI-0000,Cascade Mobile,WAN/Circuits,2025-05-01,1095.31,1095.31,Active,0.0,OK
INV000006,CI-0000,Cascade Mobile,WAN/Circuits,2025-06-01,1095.31,1095.31,Active,0.0,OK
INV000007,CI-0000,Cascade Mobile,WAN/Circuits,2025-07-01,1095.31,1095.31,Active,0.0,OK
INV000008,CI-0000,Cascade Mobile,WAN/Circuits,2025-08-01,1095.31,1095.31,Active,0.0,OK
INV000009,CI-0000,Cascade Mobile,WAN/Circuits,2025-09-01,1095.31,1095.31,Active,0.0,OK
INV000010,CI-0000,Cascade Mobile,WAN/Circuits,2025-10-01,1095.31,1095.31,Active,0.0,OK
INV000011,CI-0000,Cascade Mobile,WAN/Circuits,2025-11-01,1095.31,1095.31,Active,0.0,OK
INV000012,CI-0000,Cascade Mobile,WAN/Circuits,2025-12-01,1095.31,1095.31,Active,0.0,OK
INV000013,CI-0001,Atlas Fiber,Data Center Net,2025-01-01,829.81,829.81,Active,0.0,OK
INV000014,CI-0001,Atlas Fiber,Data Center Net,2025-02-01,829.81,829.81,Active,0.0,OK
INV000015,CI-0001,Atlas Fiber,Data Center Net,2025-03-01,829.81,829.81,Active,0.0,OK
INV000016,CI-0001,Atlas Fiber,Data Center Net,2025-04-01,829.81,1308.74,Active,478.93000000000006,Rate overcharge
INV000017,CI-0001,Atlas Fiber,Data Center Net,2025-05-01,829.81,829.81,Active,0.0,OK
INV000018,CI-0001,Atlas Fiber,Data Center Net,2025-06-01,829.81,1659.62,Active,829.81,Duplicate charge
INV000019,CI-0001,Atlas Fiber,Data Center Net,2025-07-01,829.81,1659.62,Active,829.81,Duplicate charge
INV000020,CI-0001,Atlas Fiber,Data Center Net,2025-08-01,829.81,829.81,Active,0.0,OK
INV000021,CI-0001,Atlas Fiber,Data Center Net,2025-09-01,829.81,829.81,Active,0.0,OK
INV000022,CI-0001,Atlas Fiber,Data Center Net,2025-10-01,829.81,829.81,Active,0.0,OK
INV000023,CI-0001,Atlas Fiber,Data Center Net,2025-11-01,829.81,829.81,Active,0.0,OK
INV000024,CI-0001,Atlas Fiber,Data Center Net,2025-12-01,829.81,829.81,Active,0.0,OK
INV000025,CI-0002,Atlas Fiber,Cloud Connectivity,2025-01-01,1190.71,1190.71,Active,0.0,OK
INV000026,CI-0002,Atlas Fiber,Cloud Connectivity,2025-02-01,1190.71,1190.71,Active,0.0,OK
INV000027,CI-0002,Atlas Fiber,Cloud Connectivity,2025-03-01,1190.71,1190.71,Active,0.0,OK
INV000028,CI-0002,Atlas Fiber,Cloud Connectivity,2025-04-01,1190.71,1190.71,Active,0.0,OK
INV000029,CI-0002,Atlas Fiber,Cloud Connectivity,2025-05-01,1190.71,1190.71,Active,0.0,OK
INV000030,CI-0002,Atlas Fiber,Cloud Connectivity,2025-06-01,1190.71,1190.71,Active,0.0,OK
INV000031,CI-0002,Atlas Fiber,Cloud Connectivity,2025-07-01,1190.71,1190.71,Active,0.0,OK
INV000032,CI-0002,Atlas Fiber,Cloud Connectivity,2025-08-01,1190.71,1190.71,Active,0.0,OK
INV000033,CI-0002,Atlas Fiber,Cloud Connectivity,2025-09-01,1190.71,1374.93,Active,184.22000000000003,Rate overcharge
INV000034,CI-0002,Atlas Fiber,Cloud Connectivity,2025-10-01,1190.71,1190.71,Active,0.0,OK
INV000035,CI-0002,Atlas Fiber,Cloud Connectivity,2025-11-01,1190.71,1190.71,Active,0.0,OK
INV000036,CI-0002,Atlas Fiber,Cloud Connectivity,2025-12-01,1190.71,1190.71,Active,0.0,OK
INV000037,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-01-01,1004.11,1004.11,Active,0.0,OK
INV000038,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-02-01,1004.11,1004.11,Active,0.0,OK
INV000039,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-03-01,1004.11,2008.22,Active,1004.11,Duplicate charge
INV000040,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-04-01,1004.11,1004.11,Active,0.0,OK
INV000041,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-05-01,1004.11,1004.11,Active,0.0,OK
INV000042,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-06-01,1004.11,1004.11,Active,0.0,OK
INV000043,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-07-01,1004.11,1004.11,Active,0.0,OK
INV000044,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-08-01,1004.11,1004.11,Active,0.0,OK
INV000045,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-09-01,1004.11,1004.11,Active,0.0,OK
INV000046,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-10-01,1004.11,1004.11,Active,0.0,OK
INV000047,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-11-01,1004.11,1004.11,Active,0.0,OK
