service_area,period,telecom_spend,incidents,avg_mttr,incident_cost,uptime,packet_loss,latency,mtbf,cost_per_incident
WAN/Circuits,2025-01-01,41486.290000000015,27,25.811111111111114,76080.22,99.61801886792453,0.18939622641509427,33.415094339622634,1511.245283018868,1536.5292592592598
WAN/Circuits,2025-02-01,40179.630000000005,34,26.049999999999994,99238.98000000001,99.58964150943393,0.20149056603773585,34.56603773584906,1430.5094339622642,1181.7538235294119
WAN/Circuits,2025-03-01,38710.240000000005,39,30.723076923076917,137330.20000000004,99.64111320754718,0.22337735849056606,35.6056603773585,1500.4905660377358,992.5702564102565
WAN/Circuits,2025-04-01,39024.22000000001,33,33.43939393939394,122308.6,99.58662264150942,0.20645283018867924,33.96415094339623,1544.8490566037735,1182.5521212121214
WAN/Circuits,2025-05-01,39342.98000000001,38,33.357894736842105,139228.68,99.59315094339625,0.18435849056603765,33.88490566037736,1482.698113207547,1035.3415789473686
WAN/Circuits,2025-09-01,39298.650000000016,34,30.797058823529408,113976.66,99.55243396226416,0.20798113207547161,32.8,1523.7924528301887,1155.842647058824
WAN/Circuits,2025-10-01,39449.88000000001,28,27.800000000000004,86458.39000000003,99.54673584905656,0.1972830188679246,35.08679245283019,1531.6792452830189,1408.924285714286
WAN/Circuits,2025-11-01,38191.20000000001,29,31.693103448275867,107367.72,99.48094339622642,0.1937358490566038,37.32641509433962,1433.3207547169811,1316.9379310344832
Data Center Net,2025-06-01,51418.08999999999,31,24.4,82901.11999999998,99.59764705882355,0.21338235294117644,36.025,1470.485294117647,1658.6480645161287
Data Center Net,2025-07-01,51822.06999999999,35,28.645714285714284,111775.9,99.60682352941177,0.18322058823529416,34.683823529411754,1507.3235294117646,1480.630571428571
Data Center Net,2025-08-01,54096.08,43,39.98837209302326,190341.33999999994,99.58447058823528,0.2135882352941177,34.805882352941175,1535.5882352941176,1258.0483720930233
Data Center Net,2025-12-01,53275.79999999999,36,26.402777777777775,104377.72000000002,99.60554411764703,0.22283823529411764,35.32499999999999,1523.5588235294117,1479.883333333333
Cloud Connectivity,2025-01-01,39017.44,33,27.930303030303037,104106.02,99.6616862745098,0.20762745098039212,33.699999999999996,1537.0196078431372,1182.3466666666668
Cloud Connectivity,2025-02-01,39430.94,38,32.113157894736844,130190.79,99.54841176470589,0.2308235294117647,35.51372549019609,1510.3921568627452,1037.6563157894736
Cloud Connectivity,2025-03-01,40530.02,21,22.504761904761907,53165.30000000001,99.56221568627453,0.20135294117647065,35.413725490196086,1507.4313725490197,1930.0009523809522
