ci_id,service_area,period,uptime_pct,latency_ms,packet_loss_pct,mtbf_hours
CI-0000,WAN/Circuits,2025-01-01,100.0,30.8,0.357,1513
CI-0000,WAN/Circuits,2025-02-01,99.476,20.5,0.174,1188
CI-0000,WAN/Circuits,2025-03-01,99.89,47.1,0.08,1560
CI-0000,WAN/Circuits,2025-04-01,99.382,30.0,0.316,1492
CI-0000,WAN/Circuits,2025-05-01,100.0,31.1,0.35,1519
CI-0000,WAN/Circuits,2025-06-01,99.839,31.4,0.193,1476
CI-0000,WAN/Circuits,2025-07-01,99.349,40.3,0.298,1618
CI-0000,WAN/Circuits,2025-08-01,100.0,46.6,0.144,1574
CI-0000,WAN/Circuits,2025-09-01,99.413,35.2,0.11,1824
CI-0000,WAN/Circuits,2025-10-01,99.709,33.3,0.379,1065
CI-0000,WAN/Circuits,2025-11-01,98.996,41.4,0.209,1550
CI-0000,WAN/Circuits,2025-12-01,99.202,34.8,0.501,1664
CI-0001,Data Center Net,2025-01-01,99.651,31.5,0.141,1074
CI-0001,Data Center Net,2025-02-01,99.677,41.8,0.0,1367
CI-0001,Data Center Net,2025-03-01,99.253,27.3,0.208,1083
CI-0001,Data Center Net,2025-04-01,99.784,41.0,0.162,1003
CI-0001,Data Center Net,2025-05-01,99.301,44.9,0.0,1430
CI-0001,Data Center Net,2025-06-01,99.246,41.4,0.099,1580
CI-0001,Data Center Net,2025-07-01,99.77,49.7,0.17,1575
CI-0001,Data Center Net,2025-08-01,99.154,44.5,0.086,1387
CI-0001,Data Center Net,2025-09-01,99.593,22.5,0.234,1693
CI-0001,Data Center Net,2025-10-01,99.688,22.3,0.181,1648
CI-0001,Data Center Net,2025-11-01,99.037,26.4,0.331,1554
CI-0001,Data Center Net,2025-12-01,99.724,49.9,0.27,1631
CI-0002,Cloud Connectivity,2025-01-01,100.0,33.3,0.08,1585
CI-0002,Cloud Connectivity,2025-02-01,99.732,30.8,0.045,1961
CI-0002,Cloud Connectivity,2025-03-01,99.698,29.1,0.337,1478
CI-0002,Cloud Connectivity,2025-04-01,99.524,39.5,0.006,1570
CI-0002,Cloud Connectivity,2025-05-01,100.0,38.7,0.144,1398
CI-0002,Cloud Connectivity,2025-06-01,99.477,33.0,0.143,1683
CI-0002,Cloud Connectivity,2025-07-01,99.08,41.9,0.143,1575
CI-0002,Cloud Connectivity,2025-08-01,99.262,45.6,0.387,1691
CI-0002,Cloud Connectivity,2025-09-01,99.146,41.6,0.261,1178
CI-0002,Cloud Connectivity,2025-10-01,99.593,37.9,0.283,1535
CI-0002,Cloud Connectivity,2025-11-01,99.687,46.8,0.384,926
CI-0002,Cloud Connectivity,2025-12-01,99.505,33.7,0.0,1518
CI-0003,Voice/UCaaS,2025-01-01,99.975,26.3,0.25,1316
CI-0003,Voice/UCaaS,2025-02-01,99.398,46.8,0.119,1592
CI-0003,Voice/UCaaS,2025-03-01,99.039,49.9,0.29,1463
CI-0003,Voice/UCaaS,2025-04-01,99.773,23.7,0.377,1435
CI-0003,Voice/UCaaS,2025-05-01,99.539,31.1,0.113,1638
CI-0003,Voice/UCaaS,2025-06-01,99.677,40.2,0.199,1602
CI-0003,Voice/UCaaS,2025-07-01,99.474,52.8,0.0,1752
CI-0003,Voice/UCaaS,2025-08-01,100.0,28.2,0.534,1699
CI-0003,Voice/UCaaS,2025-09-01,99.891,35.2,0.167,1458
CI-0003,Voice/UCaaS,2025-10-01,99.717,46.2,0.227,1317
CI-0003,Voice/UCaaS,2025-11-01,99.847,42.4,0.298,1649
CI-0003,Voice/UCaaS,2025-12-01,99.519,27.6,0.07,1172
CI-0004,Voice/UCaaS,2025-01-01,99.671,34.3,0.134,908
CI-0004,Voice/UCaaS,2025-02-01,99.226,44.0,0.1,1572
CI-0004,Voice/UCaaS,2025-03-01,99.183,46.5,0.178,1558
CI-0004,Voice/UCaaS,2025-04-01,100.0,47.1,0.154,1381
CI-0004,Voice/UCaaS,2025-05-01,99.502,39.1,0.184,1420
CI-0004,Voice/UCaaS,2025-06-01,100.0,34.1,0.545,1518
CI-0004,Voice/UCaaS,2025-07-01,100.0,37.9,0.344,1355
CI-0004,Voice/UCaaS,2025-08-01,99.344,38.7,0.348,1508
CI-0004,Voice/UCaaS,2025-09-01,99.214,24.1,0.0,1146
CI-0004,Voice/UCaaS,2025-10-01,99.633,44.0,0.198,1047
CI-0004,Voice/UCaaS,2025-11-01,99.543,33.7,0.514,1208
CI-0004,Voice/UCaaS,2025-12-01,99.483,48.6,0.267,1612
CI-0005,Contact Center,2025-01-01,99.634,38.5,0.525,1296
CI-0005,Contact Center,2025-02-01,99.863,25.7,0.666,1452
CI-0005,Contact Center,2025-03-01,99.415,37.3,0.732,1160
CI-0005,Contact Center,2025-04-01,99.494,29.5,1.082,1103
CI-0005,Contact Center,2025-05-01,99.814,29.7,1.157,1166
CI-0005,Contact Center,2025-06-01,99.998,42.6,1.418,1349
CI-0005,Contact Center,2025-07-01,98.968,40.5,1.958,1234
CI-0005,Contact Center,2025-08-01,99.62,46.1,2.001,767
CI-0005,Contact Center,2025-09-01,99.095,44.2,1.968,1387
CI-0005,Contact Center,2025-10-01,99.505,27.9,2.093,533
CI-0005,Contact Center,2025-11-01,99.53,42.7,2.428,1257
CI-0005,Contact Center,2025-12-01,99.96,43.6,2.38,1123
CI-0006,WAN/Circuits,2025-01-01,99.767,37.5,0.347,1267
CI-0006,WAN/Circuits,2025-02-01,100.0,27.3,0.312,1162
CI-0006,WAN/Circuits,2025-03-01,99.321,47.1,0.161,1667
CI-0006,WAN/Circuits,2025-04-01,99.671,34.2,0.405,1452
CI-0006,WAN/Circuits,2025-05-01,99.066,28.6,0.283,1579
CI-0006,WAN/Circuits,2025-06-01,99.13,29.2,0.113,1426
CI-0006,WAN/Circuits,2025-07-01,99.187,30.0,0.091,1654
CI-0006,WAN/Circuits,2025-08-01,99.843,33.8,0.141,1527
CI-0006,WAN/Circuits,2025-09-01,99.355,25.8,0.059,1373
CI-0006,WAN/Circuits,2025-10-01,99.251,36.3,0.309,1182
CI-0006,WAN/Circuits,2025-11-01,99.608,33.2,0.251,1497
CI-0006,WAN/Circuits,2025-12-01,99.164,24.9,0.204,1705
CI-0007,Data Center Net,2025-01-01,98.936,37.8,0.378,1469
CI-0007,Data Center Net,2025-02-01,99.765,29.4,0.182,1175
CI-0007,Data Center Net,2025-03-01,98.897,42.5,0.052,1408
CI-0007,Data Center Net,2025-04-01,99.184,23.7,0.174,1354
CI-0007,Data Center Net,2025-05-01,99.713,38.6,0.248,1547
CI-0007,Data Center Net,2025-06-01,100.0,26.5,0.192,1726
CI-0007,Data Center Net,2025-07-01,99.979,23.6,0.153,1771
CI-0007,Data Center Net,2025-08-01,99.752,36.6,0.167,1423
CI-0007,Data Center Net,2025-09-01,99.686,33.0,0.194,1515
CI-0007,Data Center Net,2025-10-01,99.397,39.3,0.637,1144
CI-0007,Data Center Net,2025-11-01,99.697,28.9,0.287,1509
CI-0007,Data Center Net,2025-12-01,99.829,44.4,0.229,1726
CI-0008,Wireless/Mobile,2025-01-01,98.897,47.7,0.256,1715
CI-0008,Wireless/Mobile,2025-02-01,99.234,28.4,0.222,1496
CI-0008,Wireless/Mobile,2025-03-01,99.685,43.7,0.0,1694
CI-0008,Wireless/Mobile,2025-04-01,99.602,33.4,0.0,1600
CI-0008,Wireless/Mobile,2025-05-01,98.876,40.2,0.0,1510
CI-0008,Wireless/Mobile,2025-06-01,99.564,44.4,0.173,1361
CI-0008,Wireless/Mobile,2025-07-01,99.448,45.2,0.28,1422
CI-0008,Wireless/Mobile,2025-08-01,99.529,22.5,0.258,1148
CI-0008,Wireless/Mobile,2025-09-01,99.826,36.0,0.558,1279
CI-0008,Wireless/Mobile,2025-10-01,99.569,49.4,0.379,1360
CI-0008,Wireless/Mobile,2025-11-01,99.667,35.0,0.242,1360
CI-0008,Wireless/Mobile,2025-12-01,99.573,22.2,0.22,1590
CI-0009,WAN/Circuits,2025-01-01,99.532,22.1,0.348,1572
CI-0009,WAN/Circuits,2025-02-01,99.382,32.8,0.0,1294
CI-0009,WAN/Circuits,2025-03-01,99.439,44.8,0.104,1628
CI-0009,WAN/Circuits,2025-04-01,99.439,37.0,0.179,1674
CI-0009,WAN/Circuits,2025-05-01,99.44,22.4,0.0,1393
CI-0009,WAN/Circuits,2025-06-01,99.225,38.3,0.13,1974
CI-0009,WAN/Circuits,2025-07-01,99.079,36.6,0.031,1401
CI-0009,WAN/Circuits,2025-08-01,99.642,16.4,0.236,1880
CI-0009,WAN/Circuits,2025-09-01,99.464,37.1,0.354,1467
CI-0009,WAN/Circuits,2025-10-01,99.426,16.8,0.296,1477
CI-0009,WAN/Circuits,2025-11-01,99.296,36.0,0.112,1394
CI-0009,WAN/Circuits,2025-12-01,99.782,24.3,0.357,1220
CI-0010,Cloud Connectivity,2025-01-01,99.401,50.4,0.369,1519
CI-0010,Cloud Connectivity,2025-02-01,99.318,30.8,0.211,1507
CI-0010,Cloud Connectivity,2025-03-01,99.573,34.8,0.168,1211
CI-0010,Cloud Connectivity,2025-04-01,99.445,42.3,0.0,1462
CI-0010,Cloud Connectivity,2025-05-01,99.354,35.9,0.142,1795
CI-0010,Cloud Connectivity,2025-06-01,99.752,24.5,0.301,1345
CI-0010,Cloud Connectivity,2025-07-01,99.427,37.5,0.126,1678
CI-0010,Cloud Connectivity,2025-08-01,99.368,30.0,0.102,1386
CI-0010,Cloud Connectivity,2025-09-01,99.93,40.0,0.456,1953
CI-0010,Cloud Connectivity,2025-10-01,99.291,35.6,0.024,1344
CI-0010,Cloud Connectivity,2025-11-01,99.411,26.5,0.042,1471
CI-0010,Cloud Connectivity,2025-12-01,99.235,41.7,0.062,2061
CI-0011,Contact Center,2025-01-01,99.465,36.4,0.214,1799
CI-0011,Contact Center,2025-02-01,99.936,39.0,0.415,1458
CI-0011,Contact Center,2025-03-01,99.264,49.2,0.946,1394
CI-0011,Contact Center,2025-04-01,98.869,30.5,1.136,1575
CI-0011,Contact Center,2025-05-01,99.933,26.4,1.287,1494
CI-0011,Contact Center,2025-06-01,99.102,39.9,1.491,1189
CI-0011,Contact Center,2025-07-01,99.044,38.2,1.609,1178
CI-0011,Contact Center,2025-08-01,99.431,38.1,1.861,1255
CI-0011,Contact Center,2025-09-01,99.509,39.2,2.089,740
CI-0011,Contact Center,2025-10-01,99.743,43.3,2.289,1275
