incident_id,ci_id,service_area,site,vendor,priority,opened,mttr_hours,cost_to_resolve
INC000001,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P2,2025-01-01,8.2,1132.69
INC000002,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P1,2025-02-01,8.1,899.19
INC000003,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-03-01,12.9,1132.38
INC000004,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P1,2025-04-01,9.0,898.65
INC000005,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-05-01,26.5,3065.67
INC000006,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P2,2025-08-01,15.7,1726.73
INC000007,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-08-01,31.4,2742.1
INC000008,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-09-01,44.3,3810.13
INC000009,CI-0000,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-09-01,19.4,2384.15
INC000010,CI-0001,Data Center Net,SITE-03,Atlas Fiber,P3,2025-01-01,37.9,3521.72
INC000011,CI-0001,Data Center Net,SITE-03,Atlas Fiber,P4,2025-01-01,54.0,7199.42
INC000012,CI-0001,Data Center Net,SITE-03,Atlas Fiber,P1,2025-07-01,4.8,519.94
INC000013,CI-0001,Data Center Net,SITE-03,Atlas Fiber,P4,2025-10-01,43.1,4664.68
INC000014,CI-0001,Data Center Net,SITE-03,Atlas Fiber,P4,2025-10-01,71.1,7509.58
INC000015,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P4,2025-02-01,62.0,5596.0
INC000016,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P3,2025-03-01,34.7,4798.2
INC000017,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P3,2025-03-01,29.2,3860.21
INC000018,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P3,2025-04-01,35.1,2986.6
INC000019,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P4,2025-06-01,27.5,3520.26
INC000020,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P1,2025-08-01,9.4,1197.66
INC000021,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P4,2025-11-01,41.4,5127.73
INC000022,CI-0002,Cloud Connectivity,SITE-13,Atlas Fiber,P3,2025-11-01,14.2,1944.36
INC000023,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P3,2025-01-01,36.3,4401.78
INC000024,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P4,2025-03-01,26.6,3039.6
INC000025,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P3,2025-05-01,18.3,1673.12
INC000026,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P4,2025-05-01,28.3,3382.19
INC000027,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P3,2025-07-01,36.2,5012.01
INC000028,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P3,2025-08-01,23.3,2052.48
