invoice_id,ci_id,vendor,service_area,period,contracted_rate,billed_amount,ci_status,planted_error
INV000001,CI-0000,Cascade Mobile,WAN/Circuits,2025-01-01,1095.31,1095.31,Active,none
INV000002,CI-0000,Cascade Mobile,WAN/Circuits,2025-02-01,1095.31,1095.31,Active,none
INV000003,CI-0000,Cascade Mobile,WAN/Circuits,2025-03-01,1095.31,1095.31,Active,none
INV000004,CI-0000,Cascade Mobile,WAN/Circuits,2025-04-01,1095.31,1095.31,Active,none
INV000005,CI-0000,Cascade Mobile,WAN/Circuits,2025-05-01,1095.31,1095.31,Active,none
INV000006,CI-0000,Cascade Mobile,WAN/Circuits,2025-06-01,1095.31,1095.31,Active,none
INV000007,CI-0000,Cascade Mobile,WAN/Circuits,2025-07-01,1095.31,1095.31,Active,none
INV000008,CI-0000,Cascade Mobile,WAN/Circuits,2025-08-01,1095.31,1095.31,Active,none
INV000009,CI-0000,Cascade Mobile,WAN/Circuits,2025-09-01,1095.31,1095.31,Active,none
INV000010,CI-0000,Cascade Mobile,WAN/Circuits,2025-10-01,1095.31,1095.31,Active,none
INV000011,CI-0000,Cascade Mobile,WAN/Circuits,2025-11-01,1095.31,1095.31,Active,none
INV000012,CI-0000,Cascade Mobile,WAN/Circuits,2025-12-01,1095.31,1095.31,Active,none
INV000013,CI-0001,Atlas Fiber,Data Center Net,2025-01-01,829.81,829.81,Active,none
INV000014,CI-0001,Atlas Fiber,Data Center Net,2025-02-01,829.81,829.81,Active,none
INV000015,CI-0001,Atlas Fiber,Data Center Net,2025-03-01,829.81,829.81,Active,none
INV000016,CI-0001,Atlas Fiber,Data Center Net,2025-04-01,829.81,1308.74,Active,rate_overcharge
INV000017,CI-0001,Atlas Fiber,Data Center Net,2025-05-01,829.81,829.81,Active,none
INV000018,CI-0001,Atlas Fiber,Data Center Net,2025-06-01,829.81,1659.62,Active,duplicate
INV000019,CI-0001,Atlas Fiber,Data Center Net,2025-07-01,829.81,1659.62,Active,duplicate
INV000020,CI-0001,Atlas Fiber,Data Center Net,2025-08-01,829.81,829.81,Active,none
INV000021,CI-0001,Atlas Fiber,Data Center Net,2025-09-01,829.81,829.81,Active,none
INV000022,CI-0001,Atlas Fiber,Data Center Net,2025-10-01,829.81,829.81,Active,none
INV000023,CI-0001,Atlas Fiber,Data Center Net,2025-11-01,829.81,829.81,Active,none
INV000024,CI-0001,Atlas Fiber,Data Center Net,2025-12-01,829.81,829.81,Active,none
INV000025,CI-0002,Atlas Fiber,Cloud Connectivity,2025-01-01,1190.71,1190.71,Active,none
INV000026,CI-0002,Atlas Fiber,Cloud Connectivity,2025-02-01,1190.71,1190.71,Active,none
INV000027,CI-0002,Atlas Fiber,Cloud Connectivity,2025-03-01,1190.71,1190.71,Active,none
INV000028,CI-0002,Atlas Fiber,Cloud Connectivity,2025-04-01,1190.71,1190.71,Active,none
INV000029,CI-0002,Atlas Fiber,Cloud Connectivity,2025-05-01,1190.71,1190.71,Active,none
INV000030,CI-0002,Atlas Fiber,Cloud Connectivity,2025-06-01,1190.71,1190.71,Active,none
INV000031,CI-0002,Atlas Fiber,Cloud Connectivity,2025-07-01,1190.71,1190.71,Active,ghost_circuit
INV000032,CI-0002,Atlas Fiber,Cloud Connectivity,2025-08-01,1190.71,1190.71,Active,none
